GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
codacy-maven-plugin Maven Plugin,com.gavinmogan,CodacyCoverageReporterMojo.new ResponseHandler() {...},13,25,3,3,1,5,3,2,0,2
codacy-maven-plugin Maven Plugin,com.gavinmogan,CodacyCoverageReporterMojo,68,230,4,6,17,47,5,13,1,12
